id,question,option_a,option_b,option_c,option_d,correct,difficulty,explanation,picture
200,"Ar privalote imtis visų būtinų priemonių nekelti pavojaus kitų eismo dalyvių saugumui, jei dėl to kiltų pavojus jūsų paties gyvybei ar sveikatai?","Taip, privalote.",Neprivalote.,Kelių eismo taisyklėse tai neaprašyta.,,2,1,"Pagal Kelių eismo taisykles (KET), vairuotojas nėra įpareigotas imtis priemonių, kurios keltų pavojų jo paties gyvybei ar sveikatai.",200.jpg
201,Saugaus eismo automobilių keliais Lietuvos Respublikoje teisinius pagrindus nustato:,LR civilinis kodeksas (CK).,LR baudžiamasis kodeksas (BK).,LR administracinių nusižengimų kodeksas (ANK).,LR saugaus eismo automobilių keliais įstatymas (SEAKĮ).,4,2,"SEAKĮ- 1 straipsnis. Įstatymo paskirtis ir taikymas 1. Šis įstatymas nustato eismo saugumo automobilių keliais Lietuvos Respublikoje teisinius pagrindus, valstybės ir savivaldybių institucijų ir įstaigų pareigas įgyvendinant saugaus eismo politiką, eismo dalyvių mokymą, pagrindines eismo dalyvių, už kelių priežiūrą atsakingų asmenų, policijos, muitinės pareigūnų ir kitų tikrinančių pareigūnų teises ir pareigas, taip pat pagrindinius su transporto priemonių technine būkle, techninės būklės tikrinimu, transporto priemonių registravimu susijusius reikalavimus, eismo saugumo reikalavimus keliams, siekiant apsaugoti eismo dalyvių ir kitų asmenų gyvybę, sveikatą ir turtą, gerinti transporto ir pėsčiųjų eismo sąlygas.",201.jpg
202,Kas yra „Geležinkelio pervaža”?,"Vieta, kur kelias kerta geležinkelio bėgius 5 m aukštyje.",Kelio susikirtimas su geležinkeliu viename lygyje.,,,2,1,3.5. Geležinkelio pervaža - kelio susikirtimas su geležinkeliu viename lygyje.,202.jpg
203,Kas priklauso maršrutiniam transportui?,Taksi.,"Viešojo transporto priemonės (autobusai, troleibusai, maršrutiniai taksi), kuriomis reguliariai vežami keleiviai nustatytu maršrutu su nurodytomis sustojimo vietomis.",Mikroautobusai.,,2,1,"Mikroautobusas – tai transporto priemonė, kurioje yra ne daugiau kaip 8 sėdimos vietos keleiviams (be vairuotojo vietos) ir kurios didžiausioji leidžiamoji masė neviršija 3,5 t. Tai gali būti ir privatus, ir komercinis automobilis.
Maršrutinis taksi (arba maršrutinis mikroautobusas) – tai viešojo transporto priemonė, važiuojanti nustatytu maršrutu, su nustatytomis stotelėmis ir ženklu „Maršrutinis transportas“.",203.jpg
204,Kuri transporto priemonė važiuos per sankryžą paskutinė?,Dviratis.,Keturratis.,Lengvasis automobilis.,,2,3,"Pirmas važiuos dviratininkas, kadangi jis neturi kliūties iš dešinės pusės, antras važiuos automobilis, nes pravažiavus dviračiui, jam nebeliks kliūties iš dešinės pusės. Paskutinis važiuos keturračio vairuotojas, nes pravažiavus automobiliui, jam taip pat nelieka kliūties iš dešinės pusės.",204.jpg
205,"Ar prieš pradėdamas važiuoti iš stotelės, maršrutinio transporto vairuotojas turi įsitikinti, kad jam duodamas kelias?","Taip, turi.","Ne, neturi.",Maršrutinis transportas visada turi pirmumą prieš kitas transporto priemones.,,1,1,"KET 180 p. Prieš pradėdamas važiuoti iš stotelės, maršrutinio transporto vairuotojas turi įsitikinti, kad jam duodamas kelias.",205.jpg
206,"Tam, kad galėtumėte pradėti mokytis vairuoti B kategorijos lengvąjį automobilį keliuose, privalote būti ne jaunesnis (-ė) kaip:",16 metų.,17 metų.,18 metų,,2,1,"B kategoriją galima vairuoti - nuo 18 metų, o pradėti mokytis metais anksčiau - nuo 17 metų.",206.jpg
207,Kuris vadeliotojas važiuoja teisingai keliu su kelkraščiais?,A.,B.,Abu važiuoja neteisingai.,,1,1,"KET 68. Vadelioti, varyti gyvulius ar paukščius, joti leidžiama tik dešiniuoju kelkraščiu, o jeigu jo nėra, – dešiniuoju važiuojamosios dalies pakraščiu, kuo arčiau prie važiuojamosios dalies krašto, nesukeliant pavojaus kitiems eismo dalyviams.
KET 69. Vadeliojamų vežimo ar rogių priekyje turi būti balti, iš šonų – oranžiniai, gale – raudoni šviesos atšvaitai, pritvirtinti gerai matomose vietose ir pažymintys kraštinius vežimo ar rogių gabaritus.",207.jpg
208,"Ką privalo su savimi turėti motorinės transporto priemonės vairuotojas, gavęs policijos kvietimą nurodytu laiku atvykti į policiją?","Asmens tapatybę patvirtinantį dokumentą visais atvejais. Valstybinės techninės apžiūros dokumentą, automobilio privalomojo civilinio draudimo dokumentą, vairuotojo pažymėjimą, jei nurodyta kvietime.",Vairuotojo pažymėjimą visais atvejais.,Galiojančią vairuotojo sveikatos patikrinimo medicininę pažymą.,"Sveikatos žinių atestavimo pažymėjimą, kad baigtas mokymas pagal privalomojo pirmosios pagalbos mokymo programą.",1,1,"8. Gavęs policijos kvietimą, eismo dalyvis privalo nurodytu laiku atvykti į policijos įstaigą. Su savimi jis privalo turėti asmens tapatybę patvirtinantį dokumentą ir kitus kvietime nurodytus dokumentus.",208.jpg
209,Ar reikalingos žieminės arba universaliosios padangos žiemos metu vienaašei lengvojo automobilio priekabai be stabdžių sistemos?,Taip.,Ne.,,,1,1,"Nuo lapkričio 10 d. iki kovo 31 d. draudžiama eksploatuoti motorines transporto priemones ir priekabas su vasarinėmis padangomis (padangų protektoriaus rašto gylis turi būti ne mažesnis kaip 3,0 mm).  Taigi vasarinės padangos žiemos sezono metu draudžiamos, bet nėra būtinybės montuoti specialiai žieminių padangų – galima naudoti ir universalias padangas.",209.jpg
210,Lengvųjų automobilių techninė apžiūra turi būti atliekama:,Kas 12 mėnesių.,"Po 3 metų nuo pirmos registracijos datos, po to kas 12 mėn.","Po 2 metų nuo pirmos registracijos datos, po to kas 24 mėn.","Po 3 metų nuo pirmos registracijos datos, po to kas 24 mėn.",4,2,"Nuo pirmos registracijos reiškia, kad kai automobilis dar naujas.",210.jpg
211,Ką charakterizuoja benzino oktaninis skaičius 95 arba 98?,Variklio atsparumą detonacijai.,Benzino atsparumą žemoms temperatūroms.,Benzino atsparumą detonacijai.,,3,2,"Oktaninis skaičius. Jis nusako benzino savybę vidaus degimo variklyje sudegti be detonacijos. Detonacija — savaiminis ir priešlaikinis benzino garų ir oro mišinio užsidegimas ne nuo žvakės, bet nuo suspaudimo bei įkaitusių cilindro dalių. Minėtojo mišinio atsparumas savaiminei detonacijai nusakomas oktaniniu skaičiumi.",211.jpg
212,Ar tamsiu paros metu gyvenvietėje neapšviestame kelyje leidžiama įjungti tolimąsias žibintų šviesas?,Leidžiama.,Draudžiama.,,,1,1,"Neapšviestuose keliuose įjungti tolimąsias žibintų šviesas gyvenvietėje yra leidžiama, jei:
gyvenvietėje kelias neapšviestas,
ir neakinate kitų vairuotojų.",212.jpg
213,"Ar asmuo, varantis keliu gyvulius, yra laikomas vairuotoju?",Taip.,Ne.,,,1,1,"SEAKĮ 2 str. 92. Vairuotojas – asmuo, vairuojantis transporto priemonę. Vairuotojams prilyginami asmenys, dalyvaujantys eisme pagal šiame įstatyme nustatytus papildomus reikalavimus (vadeliotojai, raiteliai, asmenys, varantys keliu gyvulius ar paukščius), taip pat asmenys, kurie moko vairuoti.",213.jpg
214,"Per kiek laiko iš žmogaus organizmo pasišalina 1,5 promilė alkoholio?",Alkoholis suskaidomas tik po 1 valandos.,Alkoholis suskaidomas tik po 6 valandų.,Alkoholis suskaidomas tik po 12 valandų.,,3,1,"Testo klausime klausiama  per kiek laiko iš organizmo, o ne iš kraujo pasišalina 1,5 promilė alkoholio.
Alkoholio kiekis mažėja labai lėtai, iš anksto žinomu tempu, kadangi žmogaus kepenys per valandą suardo tam tikrą jo kiekį. Šalinant alkoholį iš organizmo 90% viso darbo tenka kepenims, o 10 % plaučiams ir inkstams. Sveiko žmogaus kepenys suardo nuo 0,15 iki 0,20 ‰/h. Taigi, 1 ‰ pašalinti vidutiniškai užtruks 6 valandas.
Jei per vakarą išgėrėte 200 g degtinės, tai už vairo negalite sėsti dar mažiausiai 10-12 valandų.
Alkoholio šlapime galima aptikti: nuo trijų iki penkių dienų. Kraujyje: nuo 10 iki 12 valandų. Plaukuose: iki 90 dienų. Iškvėptame ore: iki 24 val.
Jei vakare buvo rimtas išgėrimas ir žmogus nori vairuoti ryte, reikėtų atkreipti dėmesį, kada buvo baigta gerti paskutinė taurė. Daugumai žmonių nuo paskutinės taurės turi praeiti 12 val., kad alkoholis tikrai būtų suskaldytas, atskirais atvejais gali reikėti ir daugiau laiko.",214.jpg
215,Kokiu greičiu leidžiama vadelioti kelyje?,Ne didesniu kaip 5 km/val. greičiu.,Ne didesniu kaip 20 km/val. greičiu.,"Saugiu greičiu, nesukeliant pavojaus kitiems eismo dalyviams.",Didžiausiu leistinu greičiu tame kelio ruože.,3,2,"KET nenustato tikslaus greičio vadeliojant gyvulius, nes tai ne transporto priemonė.
Leidžiama judėti tik dešiniuoju kelkraščiu ar važiuojamosios dalies pakraščiu, saugiu greičiu, kad nekeltų pavojaus kitiems eismo dalyviams.
Todėl „didžiausiu leistinu greičiu“ šiuo atveju netinka – tai sąvoka taikoma transporto priemonėms, o ne vadeliojimui.",215.jpg
216,Kokius vaikus privaloma vežti specialiose jų ūgiui ir svoriui pritaikytose sėdynėse?,"Tik iki 3 metų amžiaus vaikus, nepriklausomai nuo ūgio.","Tik iki 12 metų amžiaus vaikus, nepriklausomai nuo ūgio.",Žemesnius kaip 150 cm ūgio vaikus.,Žemesnius kaip 135 cm ūgio vaikus.,4,1,"KET 199. Žemesni kaip 135 cm ūgio vaikai lengvuoju ar krovininiu automobiliu vežami prisegti jų ūgiui ir masei pritaikytomis vaikų prisegimo sistemomis pagal gamintojo nurodytą dydžio intervalą ir didžiausią vaiko masę arba šias grupes:
199.1. 0 grupė skirta vaikams, kurie sveria mažiau kaip 10 kg;

199.2. 0+ grupė skirta vaikams, kurie sveria mažiau kaip 13 kg;

199.3. I grupė skirta vaikams, kurie sveria nuo 9 iki 18 kg;

199.4. II grupė skirta vaikams, kurie sveria nuo 15 iki 25 kg;

199.5. III grupė skirta vaikams, kurie sveria nuo 22 iki 36 kg.",216.jpg
217,Kiek motorinių transporto priemonių leidžiama vilkti vienu metu?,Vieną.,Dvi.,Tris.,,1,1,"KET 217. Vilkti arba vežti transporto priemones draudžiama:
217.6. vilkti daugiau kaip vieną motorinę transporto priemonę, traktorių, savaeigę mašiną;",217.jpg
218,Ar įvažiavimo į kelią iš šalia jo esančios aikštelės vieta yra sankryža?,Taip.,Ne.,,,2,2,"Sankryžomis nelaikomos vietos, kur išvažiuojama iš kelio į esančias šalia jo teritorijas arba įvažiuojama į kelią iš šalia jo esančių teritorijų. Geltonas automobilis pastatytas neteisingai, bet atsakymui į klausimą jis jokios įtakos neturi.",218.jpg
219,Ar šiame paveikslėlyje pavaizduota sankryža?,Taip.,Ne.,,,1,2,"Sankryžomis nelaikomos vietos, kur išvažiuojama iš kelio į esančias šalia jo teritorijas arba įvažiuojama į kelią iš esančių šalia jo teritorijų. Šiuo atveju, kertasi asfaltuotas kelias su lauko keliu, todėl šis susikirtimas yra laikomas sankryža.",219.jpg
220,Kas yra „Tamsusis paros metas“?,Kai kelio matomumas mažesnis kaip 300 metrų.,Laikas nuo sutemų pabaigos iki ryto prieblandos pradžios.,Laikas nuo saulėlydžio iki saulėtekio.,Kai kelio matomumas mažesnis kaip 200 metrų.,3,1,SEAKĮ 2 str. 69. Tamsusis paros metas – laikas nuo saulėlydžio iki saulėtekio.,220.jpg
221,"Minimalus amžius, nuo kurio galima pradėti mokytis vairuoti triračius, kurių galia didesnė kaip 15 kW?",20 metų.,21 metų.,23 metų.,24 metų.,1,1,"Pradėti mokytis galima vienais metais anksčiau (nuo 20 m.), nei leidžiama gauti  (nuo 21 m.) šios kategorijos vairuotojo pažymėjimą.",221.jpg
